temp,abs
15.02000046,3.670123577
15.61999989,3.673799038
16.17000008,3.676175356
16.62000084,3.673448324
17.02000046,3.672936916
17.46999931,3.677148581
18.02000046,3.67770648
18.52000046,3.678598881
19.02000046,3.681346416
19.52000046,3.683333397
20,3.682627439
20.52000046,3.68574214
21.02000046,3.686253786
21.46999931,3.686610699
22.02000046,3.689631224
22.52000046,3.684267282
22.96999931,3.689177752
23.52000046,3.690436125
24.02000046,3.688819647
24.46999931,3.689650774
25.02000046,3.693026304
25.47999954,3.692784548
26,3.691287518
26.52000046,3.696783304
27.02000046,3.692760944
27.52000046,3.696025848
28.02000046,3.696876526
28.52000046,3.697214603
29.02000046,3.69708395
29.52000046,3.697092533
30.02000046,3.698245764
30.52000046,3.696381807
30.96999931,3.700567245
31.52000046,3.701647043
32.02000046,3.705056906
32.47000122,3.704417706
33.02000046,3.70370698
33.52000046,3.703280687
34.02000046,3.705745459
34.52000046,3.705353737
34.97999954,3.706982374
35.47000122,3.710026741
36.02000046,3.711213827
36.47999954,3.708016396
37.02000046,3.71016264
37.52000046,3.715032339
38.02000046,3.71587801
38.52000046,3.718787909
39.02000046,3.720293522
39.5,3.723028421
39.97999954,3.725215197
40.52000046,3.728493214
40.97000122,3.728307247
41.52000046,3.7312181
41.97000122,3.73577404
42.52000046,3.740997553
43.02000046,3.738231659
43.47000122,3.744320393
44.02000046,3.752275229
44.52000046,3.754508495
45.02000046,3.758834124
45.47000122,3.758022785
45.97000122,3.772253513
46.52000046,3.775159597
47.02000046,3.778648853
47.52000046,3.787698269
47.97000122,3.78911829
48.52000046,3.797892094
49.02000046,3.803154469
49.52000046,3.813159227
50.02000046,3.818279028
50.52000046,3.824226141
51.02000046,3.82749176
51.47000122,3.833429098
52.02000046,3.839755774
52.52000046,3.841743231
53.02000046,3.844099522
53.47999954,3.847790956
53.97000122,3.853834629
54.52000046,3.85586071
55.02000046,3.862214565
55.47000122,3.865845203
56.02000046,3.867449522
56.5,3.870695353
56.97000122,3.868503332
57.52000046,3.871022701
58.02000046,3.869662046
58.47000122,3.875128746
58.97000122,3.874512196
59.52000046,3.873940945
60.02000046,3.874333143
60.47000122,3.876453638
61.02000046,3.876117468
61.52000046,3.876312494
61.97000122,3.87703228
62.52000046,3.879890919
63.02000046,3.873502731
63.52000046,3.875413418
64.01999664,3.877626657
64.51999664,3.875251055
65.01999664,3.877789497
65.51999664,3.879746675
66.01999664,3.878008604
66.47000122,3.87902236
67.01999664,3.880207539
67.51999664,3.87562871
67.97000122,3.874064207
68.47000122,3.877868414
68.97000122,3.877168179
69.51999664,3.877337456
70.01999664,3.875695944
70.51999664,3.874846935
70.97000122,3.874136925
71.47000122,3.873183966
72.01999664,3.874508858
72.51999664,3.873309135
73.01999664,3.874479055
73.51999664,3.874705076
74.01000214,3.872678041
74.51999664,3.873639345
74.97000122,3.872984886
75.51999664,3.872795343
75.97000122,3.868093014
76.51999664,3.874269009
77.01999664,3.867788553
77.51999664,3.869750738
77.97000122,3.87046504
78.51999664,3.870383501
79.01999664,3.870588541
79.51999664,3.86705637
80.01999664,3.870455503
80.51999664,3.870777369
80.98000336,3.869110107
81.48000336,3.865578651
81.98999786,3.865419149
82.51999664,3.865957737
82.97000122,3.867349386
83.51999664,3.864041805
84.01999664,3.859294891
84.47000122,3.863537073
85.01999664,3.862170458
85.51999664,3.858608246
85.97000122,3.862208366
86.47000122,3.858964205
87.01999664,3.853150606
87.5,3.86133647
87.98000336,3.858777285
88.51999664,3.858757496
89.01999664,3.862063169
89.51000214,3.855111361
89.97000122,3.857150316
90.51999664,3.853602409
91.01999664,3.854102373
91.47000122,3.852835894
92.01999664,3.853963137
92.47000122,3.855825424
93.37000275,3.852689981
94.51999664,3.853582144
94.76999664,3.852874279
94.87000275,3.854845047
